code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600000,2018-04-28,2017-12-31,0.136782,15.118785,0.028116,0.986473,0.326191,0.787678,,
sh.600004,2018-04-21,2017-12-31,0.123834,1.562219,0.335869,0.996590,0.236816,0.739338,0.989060,0.323852
sh.600006,2018-03-31,2017-12-31,0.030395,2.975253,0.931521,-2.321700,-0.004724,0.727161,0.875150,-0.007423
sh.600007,2018-03-24,2017-12-31,0.100744,1.815085,0.241882,0.998749,0.229753,0.748644,0.835362,0.367376
sh.600008,2018-03-30,2017-12-31,0.055093,4.079256,0.204911,0.871625,0.075618,0.722461,0.519287,0.201559
sh.600009,2018-03-24,2017-12-31,0.155323,1.148900,0.295916,0.954928,0.478427,0.796690,1.025729,0.585456
sh.600010,2018-04-20,2017-12-31,0.042689,2.983133,0.372697,1.005049,0.038203,0.725617,0.607562,0.086657
sh.600011,2018-03-14,2017-12-31,0.022835,4.381344,0.443124,0.835356,0.014080,0.577029,0.270623,0.090163
sh.600012,2018-03-26,2017-12-31,0.120870,1.511613,0.209652,1.005267,0.379402,0.704758,0.957180,0.562427
sh.600015,2018-04-20,2017-12-31,0.123776,15.192285,0.027290,0.994281,0.300268,0.759266,,
sh.600016,2018-03-30,2017-12-31,0.138070,16.350633,0.024459,0.978222,0.352936,0.840824,,
sh.600017,2018-03-20,2017-12-31,0.035243,1.910558,0.240254,0.824766,0.093093,0.744932,0.664295,0.188122
sh.600018,2018-03-28,2017-12-31,0.177196,1.981593,0.290086,0.898009,0.343267,0.810229,0.955702,0.443304
sh.600019,2018-04-10,2017-12-31,0.134200,2.163880,0.936557,0.939578,0.070478,0.848888,0.871884,0.095223
sh.600020,2018-04-27,2017-12-31,0.091910,3.863154,0.118592,0.984017,0.203875,0.803398,0.510972,0.496633
sh.600021,2018-04-03,2017-12-31,0.080563,5.923426,0.276175,0.649322,0.075844,0.761834,0.528709,0.188296
sh.600022,2018-03-30,2017-12-31,0.112851,3.266848,0.859784,0.981487,0.040936,0.985314,0.824711,0.050376
sh.600023,2018-04-11,2017-12-31,0.072815,1.837136,0.468094,0.913550,0.092685,0.857835,0.820625,0.131663
sh.600025,2018-04-26,2017-12-31,0.059909,4.516573,0.077853,0.923233,0.184543,0.848122,0.444631,0.489372
sh.600026,2018-03-29,2017-12-31,0.063844,2.139901,0.164846,0.937020,0.193153,0.921022,0.731514,0.286687
sh.600027,2018-03-27,2017-12-31,0.010195,5.053321,0.370584,0.554350,0.009821,0.597919,0.191619,0.085717
sh.600028,2018-03-26,2017-12-31,0.071024,2.149472,1.525602,0.727217,0.029783,0.811962,0.987296,0.037152
sh.600029,2018-03-27,2017-12-31,0.127491,4.514039,0.608845,0.865506,0.053597,0.776654,0.711582,0.096981
sh.600030,2018-03-23,2017-12-31,0.078178,4.181314,0.070795,0.954564,0.276669,0.740549,,
sh.600031,2018-04-17,2017-12-31,0.086788,2.484551,0.640024,0.939458,0.058095,0.776300,0.832520,0.089891
sh.600033,2018-04-21,2017-12-31,0.076580,2.077186,0.139012,0.760101,0.348911,0.740852,0.826175,0.570047
sh.600035,2018-04-27,2017-12-31,0.111361,1.888087,0.275432,1.006620,0.212732,0.763401,0.801072,0.347863
sh.600036,2018-03-24,2017-12-31,0.158969,13.868688,0.036094,0.993092,0.319778,0.778981,,
sh.600037,2018-04-14,2017-12-31,0.059770,1.193773,0.177450,1.000000,0.282155,0.992834,1.182414,0.240348
sh.600038,2018-03-17,2017-12-31,0.064695,3.006683,0.569286,0.999997,0.037797,0.830437,1.000917,0.045472
sh.600039,2018-04-14,2017-12-31,0.093590,6.002553,0.480040,0.943402,0.034428,0.844795,0.466689,0.087325
sh.600048,2018-04-17,2017-12-31,0.159259,5.934010,0.251350,0.794111,0.134461,0.765666,0.910902,0.192790
sh.600050,2018-03-16,2017-12-31,0.004000,5.587353,0.462082,0.252883,0.006127,0.708180,0.358711,0.024120
sh.600051,2018-04-17,2017-12-31,0.220728,3.427752,0.946256,0.865338,0.078642,0.709231,0.911830,0.121605
sh.600052,2018-03-23,2017-12-31,0.086572,2.241736,0.168247,1.000000,0.229533,1.119185,0.931264,0.220227
sh.600053,2018-03-21,2017-12-31,0.175131,2.433754,0.167982,0.980503,0.436892,0.861334,0.897839,0.564942
sh.600054,2018-04-12,2017-12-31,0.099819,1.197227,0.359206,0.944412,0.245771,0.733472,1.012864,0.330823
sh.600055,2018-04-28,2017-12-31,0.060011,1.244268,0.390712,1.079274,0.114375,0.851356,1.179056,0.113942
sh.600056,2018-03-31,2017-12-31,0.177414,2.780956,1.478914,0.841735,0.051248,0.772124,0.974845,0.068085
sh.600057,2018-04-24,2017-12-31,0.081010,4.506055,5.116433,0.718307,0.004892,0.773561,0.629510,0.010045
sh.600058,2018-02-14,2017-12-31,0.005506,3.716232,2.533987,1.069850,0.000547,0.961634,0.064193,0.008854
sh.600059,2018-03-30,2017-12-31,0.041748,1.169874,0.355529,0.998409,0.100535,0.745659,1.016973,0.132577
sh.600060,2018-03-29,2017-12-31,0.070261,1.762674,1.396918,0.939635,0.030368,0.880600,0.963532,0.035790
sh.600061,2018-03-31,2017-12-31,0.081116,4.227970,0.076557,0.855321,0.292992,0.753053,0.947353,0.410695
sh.600062,2018-03-15,2017-12-31,0.119156,1.250049,0.726476,0.955235,0.137359,0.836972,1.010452,0.162417
sh.600063,2018-04-03,2017-12-31,0.020137,2.075570,0.535508,1.000000,0.018117,0.859086,0.511388,0.041238
sh.600064,2018-03-28,2017-12-31,0.094763,2.565296,0.141591,0.913789,0.285509,0.818665,0.882963,0.394976
sh.600066,2018-04-03,2017-12-31,0.215188,2.452230,0.931641,0.987799,0.095354,0.871258,0.897211,0.121983
sh.600067,2018-03-16,2017-12-31,0.084639,2.901256,0.338070,0.813201,0.106116,0.663407,0.874104,0.182994
sh.600068,2018-03-30,2017-12-31,0.117746,4.250596,0.631710,0.800960,0.054748,0.781146,0.809240,0.086608
sh.600069,2018-04-11,2017-12-31,0.026916,2.097399,0.678094,4.515356,0.004191,1.070208,0.118869,0.032946
sh.600070,2018-04-13,2017-12-31,0.075255,1.644510,0.530778,0.732017,0.117778,0.847832,0.952163,0.145896
sh.600071,2018-03-08,2017-12-31,0.082415,2.325149,0.839803,1.007974,0.041873,0.909790,0.947536,0.048573
sh.600072,2018-04-20,2017-12-31,0.008360,3.039793,0.385453,0.714064,0.009992,0.617181,0.270443,0.059861
sh.600073,2018-03-31,2017-12-31,0.083102,3.384813,1.945719,0.602276,0.020951,0.871561,0.870506,0.027614
sh.600074,2018-04-28,2017-12-31,-15.222430,11.276902,0.496825,0.981696,-2.767667,1.005692,1.037268,-2.653128
sh.600075,2018-04-12,2017-12-31,0.131343,2.122837,0.571305,1.004401,0.107824,0.815169,0.877234,0.150783
sh.600076,2018-03-31,2017-12-31,0.147679,1.348598,0.426957,1.002974,0.255719,0.926475,0.934517,0.295353
sh.600077,2018-02-10,2017-12-31,0.042628,3.721788,0.202274,0.987046,0.057367,0.522393,0.770032,0.142612
sh.600078,2018-03-31,2017-12-31,0.031683,4.097090,0.392507,0.677788,0.029068,0.778366,0.387816,0.096295
sh.600079,2018-04-12,2017-12-31,0.175575,2.623949,0.499589,0.892369,0.150089,0.786772,0.858100,0.222312
sh.600080,2018-04-13,2017-12-31,0.048842,1.307807,0.528931,0.993513,0.071069,0.847521,0.892721,0.093932
sh.600081,2018-03-31,2017-12-31,0.115967,4.233730,1.200333,0.502227,0.045437,0.879808,0.971893,0.053138
sh.600082,2018-04-26,2017-12-31,0.008493,2.080749,0.146357,1.000000,0.027889,1.216141,0.138083,0.166077
sh.600083,2018-04-25,2017-12-31,0.141304,1.981163,0.743317,0.912716,0.105129,0.724395,1.003726,0.144588
sh.600084,2018-04-04,2017-12-31,-0.037626,1.369756,0.122780,0.994226,-0.225029,1.008562,1.303283,-0.171198
sh.600085,2018-03-31,2017-12-31,0.125529,2.206608,0.747926,0.584126,0.130212,0.813787,1.005767,0.159090
sh.600086,2018-04-21,2017-12-31,0.074415,3.520713,0.848127,1.000379,0.024912,0.748366,0.320835,0.103755
sh.600088,2018-04-28,2017-12-31,0.078021,1.314316,0.518434,0.936959,0.122207,0.745698,1.066008,0.153735
sh.600089,2018-04-17,2017-12-31,0.083487,3.014981,0.482766,0.831087,0.069017,0.863359,0.871761,0.091699
sh.600090,2018-04-24,2017-12-31,0.091137,1.280063,1.362531,0.886344,0.058954,0.726268,0.983192,0.082562
sh.600091,2018-04-27,2017-12-31,0.006257,1.378333,0.053247,1.000000,0.085257,1.000000,1.248591,0.068282
sh.600093,2018-04-27,2017-12-31,0.127069,2.098174,1.185270,0.911825,0.056036,0.751944,0.936558,0.079570
sh.600094,2018-03-06,2017-12-31,0.125781,4.949791,0.184370,0.950468,0.145011,0.751085,0.772158,0.250037
sh.600095,2018-03-23,2017-12-31,0.028624,1.513038,0.201066,0.994157,0.094643,0.588790,0.806200,0.199382
sh.600096,2018-03-23,2017-12-31,0.053651,17.446321,0.852697,0.778556,0.004632,0.614927,1.035942,0.007272
