code,mean,std
sz.000585,-190.983197,
sz.002070,-16.871296,
sh.600074,-15.22243,
sz.002260,-5.911792,
sh.600871,-3.338215,
sh.600399,-3.116799,
sh.600198,-2.77422,
sz.002604,-2.579734,
sz.300104,-2.549107,
sh.600432,-2.513903,
sz.000504,-2.481632,
sz.002188,-1.935285,
sh.600610,-1.883016,
sz.000927,-1.868406,
sh.600806,-1.840834,
sh.600247,-1.809819,
sz.000422,-1.580127,
sh.600870,-1.388293,
sh.600265,-1.264439,
sh.600289,-1.259237,
sh.600186,-1.204685,
sz.000707,-1.178753,
sh.600857,-1.138361,
sh.600421,-1.131103,
sz.002069,-1.016586,
sh.600401,-0.974792,
sh.600139,-0.838651,
sz.000893,-0.768571,
sz.300028,-0.714266,
sh.600800,-0.673428,
sz.000010,-0.629955,
sz.002200,-0.624499,
sz.300116,-0.615431,
sz.000670,-0.611842,
sh.600397,-0.606767,
sh.600680,-0.601142,
sz.000720,-0.551265,
sh.600778,-0.508338,
sz.000502,-0.487875,
sz.300106,-0.458126,
sz.002072,-0.448371,
sz.002570,-0.44555,
sh.600724,-0.405673,
sh.600726,-0.387326,
sz.300080,-0.377092,
sz.000506,-0.361304,
sh.600193,-0.355983,
sz.300216,-0.349232,
sh.600408,-0.342079,
sh.600896,-0.338866,
sz.002420,-0.336676,
sz.002234,-0.32824,
sh.600744,-0.324644,
sz.300356,-0.321159,
sz.002655,-0.314158,
sh.600234,-0.304034,
sz.002194,-0.295578,
sz.000962,-0.293433,
sz.300125,-0.293172,
sz.000979,-0.293,
sz.300090,-0.292916,
sh.600654,-0.289628,
sh.600396,-0.284342,
sz.002112,-0.281859,
sh.600721,-0.281556,
sz.000409,-0.272881,
sh.600653,-0.272104,
sh.600318,-0.267821,
sz.300071,-0.265766,
sz.002336,-0.264239,
sz.300392,-0.253267,
sz.002198,-0.247609,
sz.000576,-0.244235,
sh.600601,-0.242265,
sz.002289,-0.238327,
sh.600889,-0.231433,
sz.002263,-0.231342,
sz.002458,-0.231283,
sz.002647,-0.22756,
sh.600802,-0.226979,
sz.000939,-0.223006,
sh.600469,-0.21737,
sh.600652,-0.217115,
sz.002175,-0.216905,
sz.002291,-0.211784,
sz.002552,-0.206324,
sz.300022,-0.196247,
sz.300312,-0.195209,
sz.000767,-0.193999,
sz.000868,-0.190855,
sz.300379,-0.190753,
sz.000792,-0.185843,
sh.600313,-0.184117,
sz.002473,-0.182771,
sz.300077,-0.177635,
sz.300142,-0.17231,
sz.300319,-0.171442,
sz.002005,-0.168482,
sh.600150,-0.167068,
sh.600130,-0.166172,
sz.300368,-0.165534,
sz.300025,-0.163088,
sh.600485,-0.162149,
sz.002760,-0.161568,
sz.300220,-0.160268,
sh.600866,-0.159345,
sz.002235,-0.159017,
sh.600749,-0.158337,
sh.600571,-0.157228,
sz.300139,-0.156746,
sh.600355,-0.156326,
sz.000691,-0.154725,
sz.002547,-0.152734,
sz.002423,-0.151654,
sz.300063,-0.149182,
sz.002504,-0.146249,
sz.000572,-0.141535,
sz.000622,-0.140758,
sz.000633,-0.139252,
sh.600202,-0.136862,
sh.600698,-0.135699,
sh.600238,-0.130881,
sh.600156,-0.130541,
sz.000655,-0.128998,
sz.300299,-0.128832,
sz.000911,-0.128783,
sh.600301,-0.128482,
sz.300157,-0.126982,
sz.300264,-0.126648,
sh.600807,-0.124596,
sh.600794,-0.119188,
sz.002432,-0.113965,
sh.600539,-0.113928,
sh.600119,-0.111867,
sz.002296,-0.103577,
sz.300076,-0.102863,
sz.002269,-0.101952,
sz.000897,-0.096313,
sz.300032,-0.095816,
sz.002021,-0.094799,
sz.300134,-0.091717,
sh.600784,-0.090057,
sz.002657,-0.0895,
sh.600385,-0.089361,
sz.000760,-0.0883,
sz.300062,-0.084335,
sz.000816,-0.082692,
sz.002168,-0.079592,
sh.600249,-0.074925,
sh.603616,-0.073237,
sz.000626,-0.071515,
sh.600209,-0.071114,
sz.000862,-0.070357,
sh.600526,-0.068405,
sz.002569,-0.066514,
sz.300345,-0.065365,
sz.000589,-0.064158,
sz.002089,-0.063407,
sz.002347,-0.063122,
sz.002684,-0.063,
sz.002190,-0.062085,
sz.000611,-0.060414,
sz.300399,-0.05885,
sz.300404,-0.058843,
sz.000019,-0.054677,
sh.600203,-0.052644,
sh.600151,-0.052306,
sz.300344,-0.051368,
sz.002170,-0.050669,
sz.002642,-0.050485,
sh.601798,-0.048999,
sz.000692,-0.048724,
sh.600716,-0.045522,
sz.002676,-0.045415,
sz.000875,-0.045385,
sz.300334,-0.045291,
sh.600805,-0.044453,
sz.000917,-0.044261,
