date,open,high,low,close
2017-07-03,12.6400,12.6500,12.4700,12.5600
2017-07-04,12.5500,12.5800,12.4100,12.5500
2017-07-05,12.5000,12.6500,12.4700,12.6200
2017-07-06,12.6200,12.7200,12.5100,12.6600
2017-07-07,12.6200,12.6900,12.5500,12.6000
2017-07-10,12.5900,12.6400,12.5200,12.5300
2017-07-11,12.5100,12.9400,12.5100,12.8000
2017-07-12,12.8000,13.0600,12.7400,12.8600
2017-07-13,12.8200,13.2900,12.7700,13.2700
2017-07-14,13.3400,13.8000,13.3400,13.5900
2017-07-17,13.6200,14.0200,13.2800,13.7600
2017-07-18,13.6500,13.7200,13.4000,13.5500
2017-07-19,13.5600,13.7800,13.4800,13.6900
2017-07-20,13.6700,13.7000,13.5300,13.6200
2017-07-21,13.6100,13.6300,13.3800,13.4500
2017-07-24,13.4500,13.7400,13.3600,13.6700
2017-07-25,13.6200,13.7500,13.4100,13.5100
2017-07-26,13.4500,13.7000,13.3600,13.3800
2017-07-27,13.3800,13.4700,13.2800,13.3800
2017-07-28,13.3700,13.4900,13.3000,13.4700
2017-07-31,13.4500,13.5200,13.3100,13.3600
2017-08-01,13.4200,13.4900,13.3200,13.4300
2017-08-02,13.4400,13.6000,13.3900,13.4400
2017-08-03,13.4200,13.4200,13.0400,13.0800
2017-08-04,13.0900,13.1000,12.8500,12.8700
2017-08-07,12.8700,12.9500,12.8300,12.9300
2017-08-08,12.9100,12.9300,12.8300,12.8700
2017-08-09,12.8400,12.8800,12.7500,12.7600
2017-08-10,12.7400,12.8800,12.7000,12.7900
2017-08-11,12.7200,12.7300,12.4600,12.6800
2017-08-14,12.6200,12.6300,12.5200,12.5600
2017-08-15,12.5800,12.7600,12.5600,12.5900
2017-08-16,12.5600,12.5600,12.4700,12.4900
2017-08-17,12.4900,12.5500,12.4700,12.5300
2017-08-18,12.5000,12.5700,12.4600,12.5100
2017-08-21,12.5000,12.5700,12.4600,12.5100
2017-08-22,12.5100,12.5300,12.4100,12.4300
2017-08-23,12.4400,12.6600,12.4100,12.5700
2017-08-24,12.5800,12.6600,12.4500,12.4700
2017-08-25,12.4700,12.8000,12.4700,12.7800
2017-08-28,12.8300,12.9600,12.7500,12.8900
2017-08-29,12.8500,12.9800,12.7700,12.9600
2017-08-30,12.9100,12.9800,12.8200,12.8700
2017-08-31,12.8300,12.8400,12.6500,12.7100
2017-09-01,12.6800,12.8700,12.6800,12.7700
2017-09-04,12.7800,12.8400,12.6500,12.7800
2017-09-05,12.7800,13.0900,12.7800,13.0300
2017-09-06,12.9900,13.0500,12.9000,12.9600
2017-09-07,12.9400,13.0200,12.8200,12.8500
2017-09-08,12.8500,13.1200,12.8300,13.0300
2017-09-11,13.1500,13.1500,12.9500,12.9900
2017-09-12,13.0000,13.0400,12.9100,13.0400
2017-09-13,13.0100,13.0100,12.8600,12.8700
2017-09-14,12.8800,12.9800,12.8100,12.8500
2017-09-15,12.8200,12.8600,12.7500,12.8300
2017-09-18,12.8200,12.9600,12.8000,12.9100
2017-09-19,12.9300,12.9500,12.8200,12.9000
2017-09-20,12.8800,12.9300,12.8300,12.8800
2017-09-21,12.8600,12.9500,12.8300,12.8700
2017-09-22,12.8400,12.9200,12.7900,12.8900
2017-09-25,12.8900,12.9500,12.7100,12.9400
2017-09-26,12.8900,12.9300,12.8500,12.8600
2017-09-27,12.8300,12.9100,12.7600,12.8500
2017-09-28,12.8500,12.8800,12.7700,12.8400
2017-09-29,12.8200,12.9100,12.8100,12.8700
2017-10-09,13.2700,13.2900,13.0000,13.0400
2017-10-10,13.0500,13.1000,12.9800,13.1000
2017-10-11,13.0800,13.1100,13.0300,13.0600
2017-10-12,13.0500,13.0900,12.9700,13.0500
2017-10-13,13.0100,13.0800,12.9200,12.9400
2017-10-16,12.9800,13.0600,12.9400,13.0400
2017-10-17,13.0400,13.0600,12.9400,12.9900
2017-10-18,12.9900,13.1000,12.9300,13.0700
2017-10-19,13.0300,13.1600,12.9800,13.1300
2017-10-20,13.0900,13.1000,13.0100,13.0100
2017-10-23,13.0200,13.0300,12.8300,12.8400
2017-10-24,12.8400,12.9500,12.8200,12.8600
2017-10-25,12.8600,12.9400,12.8200,12.9000
2017-10-26,12.8700,12.8800,12.7800,12.8200
2017-10-27,12.8500,12.9400,12.8200,12.8500
2017-10-30,12.8400,12.8400,12.5900,12.7000
2017-10-31,12.6000,12.6600,12.5800,12.6100
2017-11-01,12.6300,12.7200,12.5300,12.5400
2017-11-02,12.5200,12.5700,12.4300,12.5300
2017-11-03,12.5300,12.6000,12.4300,12.5800
2017-11-06,12.5600,12.5600,12.4500,12.4700
2017-11-07,12.4900,12.6000,12.4100,12.5400
2017-11-08,12.5400,12.6800,12.4900,12.5800
2017-11-09,12.5700,12.6300,12.5300,12.5500
2017-11-10,12.5400,12.6300,12.4600,12.6300
2017-11-13,12.6500,12.8500,12.6300,12.8000
2017-11-14,12.7600,12.7700,12.5800,12.6000
2017-11-15,12.6000,12.6300,12.5500,12.6000
2017-11-16,12.5700,12.5700,12.3800,12.3900
2017-11-17,12.3800,12.8000,12.3800,12.7800
2017-11-20,12.7000,12.8600,12.6100,12.8500
2017-11-21,12.8100,13.1700,12.7500,12.9400
2017-11-22,13.0000,13.4400,13.0000,13.2300
2017-11-23,13.2400,13.3200,12.9100,13.0600
2017-11-24,13.1100,13.1800,12.9300,13.0900
2017-11-27,13.0900,13.1200,12.8100,13.1000
2017-11-28,13.0300,13.0700,12.9200,12.9400
2017-11-29,12.9500,13.0400,12.8100,12.9400
2017-11-30,12.9100,12.9500,12.8000,12.9100
2017-12-01,12.9300,12.9500,12.8100,12.9100
2017-12-04,12.8700,12.9400,12.8400,12.9200
2017-12-05,12.9200,13.2700,12.9100,13.1700
2017-12-06,13.1200,13.1600,12.9100,12.9600
2017-12-07,12.9500,13.0300,12.9100,12.9600
2017-12-08,12.9800,12.9900,12.8700,12.9300
2017-12-11,12.9200,13.0400,12.8500,12.9700
2017-12-12,12.9700,12.9700,12.7400,12.7500
2017-12-13,12.8000,12.8100,12.6300,12.7400
2017-12-14,12.7900,12.7900,12.6600,12.6900
2017-12-15,12.6900,12.7300,12.6100,12.6200
2017-12-18,12.7100,12.7100,12.6100,12.6500
2017-12-19,12.6500,12.7600,12.6200,12.7500
2017-12-20,12.7600,12.7600,12.6000,12.7300
2017-12-21,12.6700,12.7800,12.6000,12.7000
2017-12-22,12.6800,12.7200,12.6100,12.6200
2017-12-25,12.6100,12.6800,12.5600,12.5900
2017-12-26,12.5700,12.6600,12.5600,12.6400
2017-12-27,12.6500,12.6600,12.5300,12.6200
2017-12-28,12.6000,12.6600,12.5300,12.5400
2017-12-29,12.5200,12.6200,12.5100,12.5900
